Id,Name,Description,Price,StockQuantity,Photo,Notes,CreatedDate,ModifiedDate
1,Wireless Mouse,Ergonomic wireless mouse with adjustable DPI,29.99,150,product_1.jpg,,2025-08-13 16:35:45,2025-08-13 16:35:45
2,Bluetooth Speaker,Portable speaker with high-quality sound and long battery life,49.99,80,product_2.jpg,,2025-08-13 16:35:45,2025-08-13 16:35:45
3,Notebook,Hardcover notebook with 200 lined pages,5.99,300,product_3.jpg,,2025-08-13 16:35:45,2025-08-13 16:35:45
4,Desk Lamp,LED desk lamp with adjustable brightness and color temperature,39.99,60,product_3.jpg,,2025-08-13 16:35:45,2025-08-13 16:35:45
5,USB-C Cable,"Durable USB-C to USB-A cable, 1 meter length",9.99,200,product_5.jpg,,2025-08-13 16:35:45,2025-08-13 16:35:45
6,Smartphone Stand,Smartphone Stand with advanced features and modern design,263.31,360,product_6.jpg,,2025-08-14 14:16:54,2025-08-14 14:16:54
7,Gaming Keyboard,Gaming Keyboard with advanced features and modern design,220.35,86,product_7.jpg,,2025-08-14 14:16:54,2025-08-14 14:16:54
8,Noise-Canceling Headphones,Noise-Canceling Headphones with advanced features and modern design,280.76,119,product_8.jpg,,2025-08-14 14:16:54,2025-08-14 14:16:54
9,Fitness Tracker,Fitness Tracker with advanced features and modern design,93.89,287,product_9.jpg,,2025-08-14 14:16:54,2025-08-14 14:16:54
10,Portable Charger,Portable Charger with advanced features and modern design,284.67,344,product_10.jpg,,2025-08-14 14:16:54,2025-08-14 14:16:54
11,Smart LED Bulb,Smart LED Bulb with advanced features and modern design,135.67,26,product_11.jpg,,2025-08-14 14:16:54,2025-08-14 14:16:54
12,Laptop Sleeve,Laptop Sleeve with advanced features and modern design,72.22,280,product_12.jpg,,2025-08-14 14:16:54,2025-08-14 14:16:54
13,Wireless Earbuds,Wireless Earbuds with advanced features and modern design,57.59,319,product_13.jpg,,2025-08-14 14:16:54,2025-08-14 14:16:54
14,Action Camera,Action Camera with advanced features and modern design,287.67,347,product_14.jpg,,2025-08-14 14:16:54,2025-08-14 14:16:54
15,Electric Toothbrush,Electric Toothbrush with advanced features and modern design,183.34,154,product_15.jpg,,2025-08-14 14:16:54,2025-08-14 14:16:54
16,Smart Thermostat,Smart Thermostat with advanced features and modern design,108.7,484,product_16.jpg,,2025-08-14 14:16:54,2025-08-14 14:16:54
17,Streaming Device,Streaming Device with advanced features and modern design,90.03,303,product_17.jpg,,2025-08-14 14:16:54,2025-08-14 14:16:54
18,Bluetooth Tracker,Bluetooth Tracker with advanced features and modern design,126.57,344,product_18.jpg,,2025-08-14 14:16:54,2025-08-14 14:16:54
19,Mini Projector,Mini Projector with advanced features and modern design,94.06,453,product_19.jpg,,2025-08-14 14:16:54,2025-08-14 14:16:54
20,Smart Plug,Smart Plug with advanced features and modern design,253.64,27,product_20.jpg,,2025-08-14 14:16:54,2025-08-14 14:16:54
21,Digital Photo Frame,Digital Photo Frame with advanced features and modern design,136.15,498,product_21.jpg,,2025-08-14 14:16:54,2025-08-14 14:16:54
22,VR Headset,VR Headset with advanced features and modern design,203.09,274,product_22.jpg,,2025-08-14 14:16:54,2025-08-14 14:16:54
